atr14,catalyst_score,close,company,entry_score,fundamental_score,industry,market_cap,pivot,rank,rr_ratio,rr_score,rs_rank,sector,stop_pct,t_count,target_pct,ticker,total_score,trend_score,tt_checks,tt_score,vcp,vcp_grade,vcp_score_raw
"5.88","80","195.56","NVIDIA Corporation","44","80","Semiconductors","4761299451904","197.63","1","5.16","100","81.8","Technology","6.01","4","31.03","NVDA","79.3","95","[object Object]","10","[object Object]","D","32"
"0.91","80","20.69","Adeia Inc.","47","80","Software - Application","2263575552","20.75","2","4.27","100","50","Technology","8","3","34.12","ADEA","73","72","[object Object]","9","[object Object]","D","37"
"23.77","50","429","Micron Technology, Inc.","41","100","Semiconductors","482843459584","438.77","3","3","100","50","Technology","8","3","24","MU","72.3","72","[object Object]","9","[object Object]","C","52"
"1.61","50","28.8","SkyWater Technology, Inc.","77","80","Semiconductors","1400419840","29.71","4","2.69","70","50","Technology","8","2","21.53","SKYT","71.5","72","[object Object]","9","[object Object]","A","87"
"2.02","50","95.11","NextEra Energy, Inc.","44","60","Utilities - Regulated Electric","198163775488","95.91","5","3","100","88.6","Utilities","4.24","4","12.71","NEE","69.8","95","[object Object]","10","[object Object]","D","32"
"69.25","70","1450.6","Comfort Systems USA, Inc.","32","95","Engineering & Construction","51179274240","1500","6","2.12","70","50","Industrials","8","3","16.93","FIX","69.2","72","[object Object]","9","[object Object]","D","37"
"1.79","45","75.2","Edison International","53","80","Utilities - Regulated Electric","28939515904","75.5","7","3","100","50","Utilities","4.76","4","14.27","EIX","68.9","72","[object Object]","9","[object Object]","C","47"
"2.77","70","102.47","SouthState Bank Corporation","44","70","Banks - Regional","10299808768","108.46","8","3.16","100","50","Financial Services","5.41","4","17.11","SSB","68.4","72","[object Object]","9","[object Object]","B","65"
"12.99","75","312.63","Affiliated Managers Group, Inc.","24","80","Asset Management","8793940992","334.78","9","3.22","100","50","Financial Services","8","4","25.8","AMG","67.6","72","[object Object]","9","[object Object]","D","32"
"3.73","45","245.17","Johnson & Johnson","44","60","Drug Manufacturers - General","590834958336","247.25","10","3","70","93.2","Healthcare","3.05","4","9.14","JNJ","67.5","100","[object Object]","10","[object Object]","D","32"
